,action
503,8
504,8
505,8
506,3
507,8
508,8
509,8
510,8
511,8
512,6
513,6
514,6
515,6
516,6
517,6
518,3
519,3
520,6
521,6
522,6
523,6
524,6
525,3
526,3
527,6
528,6
529,6
530,6
531,6
532,6
533,6
534,6
535,6
536,6
537,6
538,6
539,6
540,6
541,6
542,6
543,6
544,6
545,6
546,6
547,6
548,6
549,2
550,2
551,2
552,3
553,8
554,3
555,8
556,8
557,8
558,8
559,8
560,4
561,4
562,4
563,4
564,4
565,4
566,4
567,4
568,7
569,7
570,4
571,4
572,4
573,8
574,8
575,3
576,3
577,7
578,7
579,7
580,7
581,4
582,4
583,7
584,7
585,0
586,2
587,2
588,2
589,2
590,2
591,7
592,7
593,2
594,2
595,2
596,0
597,7
598,0
599,0
600,0
601,0
602,4
603,1
604,1
605,2
606,7
607,7
608,7
609,7
610,1
611,1
612,1
613,1
614,1
615,6
616,6
617,6
618,6
619,6
620,8
621,8
622,8
623,6
624,6
625,1
626,2
627,2
628,2
629,2
630,0
631,3
632,3
633,8
634,8
635,8
636,8
637,8
638,8
639,8
640,8
641,8
642,8
643,8
644,4
645,8
646,8
647,4
648,4
649,8
650,8
651,4
652,4
653,4
654,8
655,8
656,4
657,8
658,4
659,3
660,3
661,8
662,8
663,8
664,8
665,8
666,8
667,4
668,4
669,4
670,4
671,8
672,4
673,8
674,8
675,8
676,8
677,8
678,8
679,8
680,8
681,8
682,8
683,8
684,8
685,8
686,8
687,8
688,8
689,8
690,8
691,8
692,6
693,8
694,8
695,8
696,8
697,8
698,8
699,8
700,8
701,8
702,8
703,8
704,8
705,8
706,8
707,8
708,8
709,8
710,8
711,8
712,8
713,8
714,8
715,8
716,8
717,8
718,8
719,8
720,8
721,8
722,8
723,8
724,2
725,8
726,8
727,8
728,1
729,1
730,1
731,8
732,6
733,6
734,2
735,2
736,2
737,6
738,8
739,1
740,2
741,2
742,2
743,0
744,0
745,7
746,7
747,2
748,2
749,7
750,7
751,2
752,2
753,2
754,7
755,7
756,7
757,7
758,7
759,7
760,7
761,7
762,7
763,7
764,8
765,8
766,8
767,8
768,4
769,8
770,8
771,8
772,4
773,8
774,8
775,8
776,4
777,8
778,8
779,8
780,8
781,8
782,8
783,8
784,4
785,8
786,8
787,8
788,4
789,8
790,8
791,8
792,4
793,8
794,8
795,8
796,8
797,8
798,8
799,8
800,2
801,4
802,4
803,4
804,4
805,7
806,0
807,4
808,8
809,8
810,8
811,8
812,8
813,8
814,8
815,8
816,8
817,8
818,8
819,8
820,8
821,8
822,8
823,8
824,8
825,8
826,8
827,8
828,8
829,8
830,8
831,8
832,8
833,1
834,1
835,6
836,1
837,1
838,1
839,2
840,2
841,6
842,6
843,1
844,2
845,2
846,2
847,2
848,1
849,1
850,1
851,6
852,1
853,1
854,1
855,1
856,1
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,1
866,1
867,2
868,2
869,6
870,6
871,6
872,6
873,7
874,6
875,7
876,6
877,6
878,7
879,6
880,6
881,6
882,6
883,6
884,6
885,7
886,7
887,7
888,7
889,6
890,7
891,7
892,3
893,2
894,2
895,2
896,2
897,2
898,2
899,6
900,6
901,6
902,2
903,2
904,1
905,1
906,6
907,6
908,6
909,6
910,6
911,6
912,6
913,6
914,6
915,7
916,7
917,7
918,6
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,3
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,7
938,4
939,2
940,2
941,2
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,2
950,7
951,4
952,4
953,7
954,4
955,2
956,2
957,2
958,7
959,7
960,7
961,7
962,7
963,2
964,2
965,2
966,2
967,2
968,2
969,7
970,7
971,7
972,7
973,7
974,7
975,7
976,7
977,7
978,7
979,7
980,3
981,3
982,3
983,3
984,7
985,7
986,7
987,3
988,3
989,7
990,7
991,8
992,7
993,7
994,7
995,7
996,7
997,7
998,7
999,7
1000,7
1001,7
1002,6
1003,2
1004,5
1005,5
1006,7
1007,7
1008,7
1009,7
1010,7
1011,7
1012,7
1013,7
1014,7
1015,7
1016,7
1017,7
1018,7
1019,7
1020,7
1021,7
1022,7
1023,7
1024,7
1025,7
1026,7
1027,7
1028,7
1029,7
1030,7
1031,7
1032,7
1033,7
1034,7
1035,7
1036,7
1037,7
1038,7
1039,7
1040,7
1041,7
1042,7
1043,7
1044,7
1045,7
1046,7
1047,7
1048,7
1049,7
1050,7
1051,7
1052,7
1053,7
1054,7
1055,7
1056,7
1057,7
1058,7
1059,7
1060,7
1061,7
1062,7
1063,7
1064,7
1065,7
1066,7
1067,7
1068,7
1069,7
1070,7
1071,7
1072,7
1073,7
1074,7
1075,7
1076,7
1077,7
1078,7
1079,7
1080,6
1081,8
1082,8
1083,7
1084,7
1085,7
1086,8
1087,8
1088,7
1089,6
1090,6
1091,8
1092,8
1093,8
1094,7
1095,7
1096,7
1097,7
1098,7
1099,7
1100,7
1101,7
1102,7
1103,7
1104,7
1105,7
1106,7
1107,7
1108,7
1109,7
1110,7
1111,7
1112,7
1113,7
1114,7
1115,8
1116,8
1117,2
1118,6
1119,6
1120,6
1121,6
1122,6
1123,6
1124,7
1125,7
1126,8
1127,8
1128,8
1129,8
1130,8
1131,8
1132,7
1133,7
1134,7
1135,8
1136,2
1137,2
1138,2
1139,8
1140,2
1141,2
1142,8
1143,3
1144,8
1145,2
1146,2
1147,2
1148,2
1149,6
1150,6
1151,7
1152,6
1153,6
1154,6
1155,6
1156,6
1157,2
1158,2
1159,2
1160,2
1161,2
1162,7
1163,7
1164,2
1165,7
1166,7
1167,7
1168,8
1169,8
1170,6
1171,2
1172,2
1173,2
1174,8
1175,8
1176,8
1177,7
1178,8
1179,8
1180,8
1181,7
1182,8
1183,8
1184,8
1185,8
1186,8
1187,8
1188,8
1189,8
1190,8
1191,8
1192,0
1193,1
1194,8
1195,8
1196,8
1197,8
1198,8
1199,8
1200,6
1201,6
1202,4
1203,4
1204,4
1205,6
1206,2
1207,5
1208,5
1209,2
1210,2
1211,2
1212,7
1213,7
1214,7
1215,7
1216,2
1217,2
1218,2
1219,2
1220,2
1221,2
1222,2
1223,2
1224,2
1225,2
1226,2
1227,2
1228,1
1229,1
1230,2
1231,2
1232,2
1233,2
1234,2
1235,2
1236,2
1237,2
1238,2
1239,2
1240,2
1241,5
1242,5
1243,5
1244,5
1245,5
1246,1
1247,1
1248,5
1249,5
1250,5
1251,6
1252,6
1253,6
1254,6
1255,5
1256,2
1257,6
1258,6
1259,6
1260,6
1261,6
1262,6
1263,1
1264,2
1265,2
1266,3
1267,3
1268,3
1269,3
1270,3
1271,3
1272,3
1273,3
1274,8
1275,8
1276,6
1277,6
1278,8
1279,8
1280,8
1281,8
1282,8
1283,1
1284,1
1285,4
1286,4
1287,1
1288,1
1289,1
1290,8
1291,8
1292,8
1293,8
1294,8
1295,8
1296,8
1297,8
1298,8
1299,8
1300,8
1301,8
1302,8
1303,3
1304,3
1305,3
1306,3
1307,4
1308,4
1309,4
1310,4
1311,4
1312,4
1313,4
1314,4
1315,3
1316,3
1317,3
1318,4
1319,4
1320,0
1321,0
1322,0
1323,0
1324,3
1325,3
1326,3
1327,3
1328,6
1329,6
1330,6
1331,6
1332,8
1333,8
1334,8
1335,8
1336,8
1337,8
1338,8
1339,8
1340,3
1341,8
1342,1
1343,1
1344,1
1345,3
1346,3
1347,3
1348,1
1349,8
1350,3
1351,3
1352,3
1353,3
1354,3
1355,1
1356,3
1357,3
1358,3
1359,3
1360,1
1361,1
1362,1
1363,2
1364,5
1365,5
1366,5
1367,5
1368,5
1369,5
1370,5
1371,5
1372,5
1373,5
1374,5
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,5
1402,1
1403,1
1404,1
1405,1
1406,1
1407,5
1408,5
1409,5
1410,5
1411,5
1412,5
1413,5
1414,5
1415,5
1416,5
1417,4
1418,4
1419,4
1420,4
1421,4
1422,4
1423,7
1424,7
1425,8
1426,8
1427,8
1428,8
1429,8
1430,8
1431,8
1432,8
1433,8
1434,8
1435,8
1436,1
1437,1
1438,1
1439,8
1440,8
1441,8
1442,8
1443,8
1444,8
1445,8
1446,8
1447,8
1448,8
1449,8
1450,8
1451,8
1452,8
1453,8
1454,8
1455,8
1456,8
1457,8
1458,8
1459,8
1460,8
1461,8
1462,8
1463,8
1464,8
1465,8
1466,8
1467,8
1468,8
1469,8
1470,8
1471,8
1472,8
1473,6
1474,8
1475,8
1476,8
1477,2
1478,2
1479,7
1480,7
1481,7
1482,7
1483,7
1484,7
1485,2
1486,7
1487,7
1488,7
1489,7
1490,7
1491,7
1492,7
1493,2
1494,2
1495,2
1496,2
1497,2
1498,2
1499,7
1500,7
1501,7
1502,7
1503,7
1504,7
1505,2
1506,2
1507,2
1508,2
1509,2
1510,2
1511,2
1512,2
1513,2
1514,2
1515,2
1516,2
1517,2
1518,2
1519,2
1520,2
1521,2
1522,2
1523,2
1524,2
1525,2
1526,2
1527,2
1528,2
1529,2
1530,2
1531,2
1532,1
1533,1
1534,1
1535,2
1536,2
1537,1
1538,1
1539,2
1540,2
1541,1
1542,1
1543,2
1544,1
1545,1
1546,1
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,2
1558,7
1559,4
1560,4
1561,4
1562,0
1563,1
1564,1
1565,1
1566,8
1567,8
1568,4
1569,8
1570,1
1571,8
1572,1
1573,8
1574,8
1575,8
1576,8
1577,8
1578,8
1579,4
1580,4
1581,4
1582,4
1583,4
1584,4
1585,4
1586,4
1587,4
1588,4
1589,8
1590,6
1591,4
1592,6
1593,6
1594,6
1595,6
1596,8
1597,6
1598,8
1599,1
1600,6
1601,6
1602,1
1603,1
1604,1
1605,1
1606,1
1607,1
1608,1
1609,8
1610,6
1611,2
1612,6
1613,6
1614,6
1615,6
1616,6
1617,6
1618,6
1619,6
1620,6
1621,6
1622,6
1623,6
1624,6
1625,6
1626,6
1627,6
1628,6
1629,6
1630,6
1631,6
1632,1
1633,1
1634,1
1635,1
1636,1
1637,5
1638,5
1639,5
1640,1
1641,5
1642,5
1643,5
1644,5
1645,5
1646,5
1647,5
1648,5
1649,5
1650,5
1651,5
1652,7
1653,5
1654,5
1655,5
1656,0
1657,5
1658,5
1659,5
1660,7
1661,7
1662,8
1663,2
1664,2
1665,8
1666,8
1667,8
1668,8
1669,2
1670,8
1671,8
1672,8
1673,5
1674,5
1675,0
1676,0
1677,0
1678,5
1679,2
1680,2
1681,8
1682,8
1683,7
1684,7
1685,2
1686,4
1687,8
1688,8
1689,2
1690,8
1691,8
1692,0
1693,8
1694,8
1695,8
1696,8
1697,8
1698,8
1699,8
1700,8
1701,8
1702,8
1703,0
1704,0
1705,5
1706,0
1707,2
1708,8
1709,0
1710,5
1711,5
1712,2
1713,2
1714,2
1715,2
1716,5
1717,5
1718,5
1719,0
1720,8
1721,0
1722,8
1723,0
1724,5
1725,5
1726,5
1727,5
1728,5
1729,8
1730,8
1731,8
1732,8
1733,8
1734,0
1735,0
1736,5
1737,5
1738,5
1739,5
1740,2
1741,5
1742,2
1743,2
1744,8
1745,2
1746,2
1747,2
1748,5
1749,5
1750,5
1751,4
1752,6
1753,4
1754,2
1755,2
1756,2
1757,6
1758,6
1759,6
1760,6
1761,6
1762,6
1763,6
1764,6
1765,6
1766,6
1767,0
1768,4
1769,4
1770,2
1771,4
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,8
1790,8
1791,8
1792,8
1793,8
1794,7
1795,7
1796,7
1797,7
1798,8
1799,0
1800,0
1801,0
1802,5
1803,2
1804,0
1805,0
1806,0
1807,8
1808,5
1809,2
1810,2
1811,4
1812,8
1813,8
1814,0
1815,0
1816,0
1817,5
1818,5
1819,5
1820,5
1821,5
1822,8
1823,7
1824,8
1825,8
1826,8
1827,8
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,6
1839,6
1840,6
1841,6
1842,6
1843,6
1844,6
1845,6
1846,6
1847,8
1848,7
1849,8
1850,8
1851,8
1852,8
1853,8
1854,8
1855,8
1856,8
1857,8
1858,8
1859,8
1860,8
1861,8
1862,8
1863,8
1864,8
1865,8
1866,8
1867,8
1868,8
1869,8
1870,8
1871,8
1872,8
1873,8
1874,8
1875,8
1876,8
1877,6
1878,6
1879,6
1880,6
1881,6
1882,3
1883,3
1884,3
1885,3
1886,8
1887,8
1888,6
1889,6
1890,6
1891,7
1892,7
1893,7
1894,5
1895,5
1896,5
1897,1
1898,1
1899,6
1900,5
1901,5
1902,7
1903,5
1904,5
1905,5
1906,5
1907,7
1908,5
1909,5
1910,7
1911,7
1912,7
1913,7
1914,7
1915,7
1916,7
1917,7
1918,7
1919,5
1920,5
1921,6
1922,6
1923,2
1924,5
1925,5
1926,5
1927,5
1928,5
1929,7
1930,7
1931,7
1932,7
1933,7
1934,7
1935,7
1936,5
1937,6
1938,6
1939,7
1940,7
1941,7
1942,7
1943,7
1944,7
1945,7
1946,7
1947,7
1948,6
1949,7
1950,7
1951,7
1952,7
1953,7
1954,7
1955,7
1956,7
1957,7
1958,7
1959,2
1960,5
1961,5
1962,5
1963,5
1964,5
1965,7
1966,5
1967,7
1968,5
1969,5
1970,5
1971,5
1972,5
1973,5
1974,5
1975,5
1976,5
1977,5
1978,5
1979,5
1980,5
1981,6
1982,6
1983,6
1984,6
1985,6
1986,6
1987,6
1988,6
1989,6
1990,6
1991,7
1992,7
1993,7
1994,7
1995,7
1996,7
1997,7
1998,7
1999,7
2000,7
2001,7
2002,7
2003,7
2004,7
2005,7
2006,7
2007,7
2008,7
2009,7
2010,7
2011,7
2012,7
2013,7
2014,7
2015,7
2016,7
2017,7
2018,7
2019,7
2020,7
2021,7
2022,7
2023,7
2024,7
2025,7
2026,7
2027,7
2028,7
2029,6
2030,6
2031,7
2032,7
2033,6
2034,7
2035,7
2036,7
2037,7
2038,7
2039,5
2040,5
2041,6
2042,1
2043,7
2044,7
2045,7
2046,7
2047,7
2048,7
2049,7
2050,7
2051,7
2052,7
2053,7
2054,7
2055,7
2056,7
2057,7
2058,7
2059,7
2060,7
2061,7
2062,7
2063,5
2064,5
2065,6
2066,6
2067,4
2068,6
2069,6
2070,6
2071,6
2072,7
2073,7
2074,7
2075,5
2076,5
2077,5
2078,5
2079,1
2080,6
2081,6
2082,6
2083,6
2084,6
2085,6
2086,6
2087,7
2088,6
2089,6
2090,5
2091,1
2092,1
2093,6
2094,6
2095,6
2096,6
2097,6
2098,4
2099,6
2100,6
2101,5
2102,1
2103,4
2104,4
2105,4
2106,4
2107,4
2108,4
2109,4
2110,4
2111,4
2112,5
2113,4
2114,4
2115,4
2116,4
2117,4
2118,4
2119,4
2120,4
2121,4
2122,4
2123,4
2124,4
2125,7
2126,6
2127,6
2128,4
2129,1
2130,5
2131,7
2132,7
2133,7
2134,5
2135,5
2136,5
2137,5
2138,4
2139,7
2140,7
2141,7
2142,7
2143,7
2144,7
2145,4
2146,5
2147,4
2148,4
2149,4
2150,4
2151,4
2152,5
2153,5
2154,6
2155,6
2156,6
2157,6
2158,6
2159,7
2160,6
2161,6
2162,6
2163,1
2164,1
2165,7
2166,7
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,4
2177,4
2178,4
2179,4
2180,6
2181,5
2182,4
2183,5
2184,5
2185,5
2186,5
2187,5
2188,5
2189,5
2190,5
2191,5
2192,5
2193,6
2194,6
2195,5
2196,6
2197,6
2198,6
2199,6
2200,6
2201,6
2202,6
2203,7
2204,7
2205,1
2206,3
2207,8
2208,8
2209,8
2210,8
2211,8
2212,2
2213,0
2214,2
2215,7
2216,4
2217,4
2218,7
2219,7
2220,7
2221,7
2222,7
2223,7
2224,7
2225,2
2226,2
2227,2
2228,4
2229,7
2230,4
2231,4
2232,4
2233,4
2234,4
2235,7
2236,7
2237,7
2238,7
2239,2
2240,2
2241,2
2242,7
2243,7
2244,2
2245,2
2246,2
2247,2
2248,2
2249,2
2250,2
2251,2
2252,2
2253,2
2254,2
2255,2
2256,2
2257,2
2258,2
2259,2
2260,2
2261,2
2262,5
2263,5
2264,2
2265,2
2266,6
2267,6
2268,6
2269,6
2270,6
2271,6
2272,6
2273,6
2274,6
2275,6
2276,6
2277,2
2278,2
2279,2
2280,2
2281,2
2282,2
2283,3
2284,3
2285,3
2286,3
2287,3
2288,8
2289,8
2290,8
2291,8
2292,8
2293,1
2294,4
2295,1
2296,8
2297,1
2298,4
2299,8
2300,3
2301,3
2302,3
2303,3
2304,3
2305,3
2306,3
2307,3
2308,8
2309,3
2310,3
2311,8
2312,3
2313,8
2314,8
2315,8
2316,8
2317,8
2318,8
2319,4
2320,2
2321,2
2322,4
2323,4
2324,2
2325,4
2326,4
2327,8
2328,8
2329,8
2330,8
2331,8
2332,8
2333,8
2334,8
2335,8
2336,8
2337,8
2338,8
2339,8
2340,8
2341,8
2342,8
2343,8
2344,8
2345,8
2346,8
2347,1
2348,8
2349,8
2350,8
2351,8
2352,8
2353,8
2354,8
2355,8
2356,8
2357,8
2358,8
2359,8
2360,8
2361,8
2362,8
2363,8
2364,8
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,1
2374,2
2375,2
2376,2
2377,1
2378,2
2379,2
2380,2
2381,2
2382,2
2383,1
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,6
2408,6
2409,6
2410,6
2411,6
2412,6
2413,6
2414,6
2415,6
2416,6
2417,6
2418,6
2419,6
2420,6
2421,8
2422,2
2423,6
2424,6
2425,6
2426,6
2427,2
2428,5
2429,2
2430,2
2431,2
2432,2
2433,2
2434,2
2435,2
2436,7
2437,7
2438,7
2439,7
2440,7
2441,7
2442,2
2443,2
2444,7
2445,2
2446,2
2447,4
2448,4
2449,4
2450,4
2451,4
2452,2
2453,2
2454,2
2455,2
2456,2
2457,2
2458,2
2459,2
2460,2
2461,2
2462,2
2463,1
2464,1
2465,1
2466,2
2467,2
2468,2
2469,7
2470,2
2471,2
2472,2
2473,2
2474,2
2475,2
2476,2
2477,2
2478,2
2479,2
2480,2
2481,2
2482,2
2483,2
2484,2
2485,2
2486,2
2487,2
2488,2
2489,2
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2500,1
2501,1
2502,8
2503,8
2504,8
2505,8
2506,8
2507,8
2508,8
2509,8
2510,8
2511,8
2512,8
2513,8
2514,8
2515,4
2516,4
2517,4
2518,4
2519,8
2520,8
2521,6
2522,6
2523,6
2524,6
2525,6
2526,8
2527,6
2528,6
2529,8
2530,8
2531,8
2532,8
2533,8
2534,8
2535,8
2536,8
2537,8
2538,6
2539,6
2540,1
2541,6
2542,1
2543,6
2544,6
2545,8
2546,6
2547,6
2548,6
2549,6
2550,6
2551,6
2552,8
2553,8
2554,8
2555,8
2556,8
2557,8
2558,8
2559,8
2560,1
2561,6
2562,6
2563,6
2564,6
2565,6
2566,6
2567,6
2568,6
2569,6
2570,6
2571,6
2572,6
2573,6
2574,6
2575,6
2576,6
2577,6
2578,6
2579,6
2580,6
2581,6
2582,6
2583,6
2584,6
2585,6
2586,1
2587,1
2588,1
2589,1
2590,1
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,1
2603,1
2604,1
2605,5
2606,5
2607,3
2608,5
2609,1
2610,1
2611,1
2612,1
2613,5
2614,0
2615,5
2616,0
2617,5
2618,5
2619,5
2620,0
2621,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,6
2630,6
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,7
2642,7
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,5
2650,5
2651,5
2652,5
2653,4
2654,0
2655,0
2656,6
2657,6
2658,6
2659,6
2660,6
2661,6
2662,6
2663,6
2664,0
2665,5
2666,5
2667,0
2668,0
2669,5
2670,5
2671,5
2672,0
2673,0
2674,6
2675,0
2676,0
2677,0
2678,5
2679,5
2680,5
2681,6
2682,6
2683,5
2684,6
2685,6
2686,6
2687,6
2688,4
2689,4
2690,6
2691,6
2692,0
2693,6
2694,6
2695,5
2696,5
2697,5
2698,5
2699,5
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,0
2710,0
2711,6
2712,6
2713,6
2714,6
2715,6
2716,6
2717,6
2718,6
2719,6
2720,6
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2728,1
2729,1
2730,6
2731,1
2732,1
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,6
2740,1
2741,1
2742,1
2743,1
2744,1
2745,1
2746,6
2747,1
2748,1
2749,1
2750,1
2751,6
2752,6
2753,1
2754,1
2755,1
2756,1
2757,3
2758,3
2759,3
2760,8
2761,8
2762,6
2763,6
2764,6
2765,6
2766,6
2767,1
2768,6
2769,6
2770,6
2771,3
2772,3
2773,3
2774,3
2775,3
2776,3
2777,6
2778,6
2779,6
2780,6
2781,6
2782,6
2783,6
2784,6
2785,6
2786,6
2787,6
2788,5
2789,6
2790,6
2791,6
2792,5
2793,6
2794,5
2795,6
2796,5
2797,6
2798,6
2799,7
2800,6
2801,6
2802,6
2803,6
2804,6
2805,6
2806,6
2807,6
2808,6
2809,6
2810,6
2811,6
2812,6
2813,6
2814,6
2815,6
2816,6
2817,6
2818,6
2819,6
2820,6
2821,6
2822,6
2823,6
2824,6
2825,6
2826,6
2827,6
2828,6
2829,6
2830,6
2831,1
2832,1
2833,5
2834,1
2835,1
2836,6
2837,6
2838,6
2839,6
2840,6
2841,6
2842,6
2843,6
2844,6
2845,7
2846,7
2847,6
2848,7
2849,7
2850,6
2851,6
2852,6
2853,6
2854,6
2855,6
2856,6
2857,6
2858,6
2859,1
2860,1
2861,5
2862,6
2863,1
2864,6
2865,6
2866,7
2867,7
2868,7
2869,7
2870,6
2871,6
2872,6
2873,6
2874,7
2875,6
2876,6
2877,6
2878,6
2879,6
2880,6
2881,6
2882,6
2883,7
2884,7
2885,7
2886,6
2887,6
2888,7
2889,7
2890,7
2891,7
2892,7
2893,7
2894,7
2895,7
2896,7
2897,7
2898,7
2899,5
2900,7
2901,7
2902,7
2903,7
2904,7
2905,7
2906,7
2907,5
2908,6
2909,5
2910,5
2911,5
2912,5
2913,5
2914,5
2915,5
2916,5
2917,5
2918,5
2919,7
2920,7
2921,7
2922,5
2923,6
2924,7
2925,7
2926,7
2927,7
2928,7
2929,6
2930,6
2931,6
2932,6
2933,6
2934,4
2935,6
2936,6
2937,6
2938,6
2939,6
2940,5
2941,5
2942,5
2943,5
2944,5
2945,7
2946,7
2947,5
2948,5
2949,5
2950,7
2951,7
2952,7
2953,7
2954,7
2955,7
2956,7
2957,7
2958,6
2959,6
2960,6
2961,7
2962,7
2963,6
2964,6
2965,7
2966,7
2967,7
2968,7
2969,7
2970,7
2971,7
2972,7
2973,7
2974,7
2975,7
2976,7
2977,7
2978,7
2979,6
2980,7
2981,6
2982,6
2983,6
2984,6
2985,6
2986,6
2987,6
2988,6
2989,7
2990,7
2991,1
2992,3
2993,8
2994,8
2995,8
2996,8
2997,8
