,id,lastpage,seed,age,gender,gender[other],colorVision,experiencePacman,experienceAI,experienceAI2[1],experienceAI2[2],experienceAI2[3],experienceAI2[4],experienceAI2[5],experienceAI2[other],outcomeAI[1],randVideoSeed,randnumber,retrospectionClicks2,Intention2,retrospection2[1],retrospection2[2],retrospection2[3],retrospection2[4],retrospection2[5],retrospection2[6],RetrospectionConf2[predictConf1],RetrospectionExpl2,retrospectionClicks3,Intention3,retrospection3[1],retrospection3[2],retrospection3[3],retrospection3[4],retrospection3[5],retrospection3[6],RetrospectionConf3[predictConf1],RetrospectionExpl3,retrospectionClicks1,Intention1,retrospection1[1],retrospection1[2],retrospection1[3],retrospection1[4],retrospection1[5],retrospection1[6],RetrospectionConf1[predictConf1],RetrospectionExpl1,explSatisfaction1[1],explSatisfaction1[2],explSatisfaction1[3],explSatisfaction1[4],explSatisfaction1[5],explSatisfaction1[6],comment1,videoClicks2A,videoClicks2B,trustBool2,trustConfidence2[confidence1],trustExpl2,videoClicks3A,videoClicks3B,trustBool3,trustConfidence3[confidence1],trustExpl3,videoClicks1A,videoClicks1B,trustBool1,trustConfidence1[confidence1],trustExpl1,explSatisfaction2[1],explSatisfaction2[2],explSatisfaction2[3],explSatisfaction2[4],explSatisfaction2[5],explSatisfaction2[6],comment2,bonus,code,interviewtime,demographicsTime,retro2Time,retro3Time,retro1Time,trust2Time,trust3Time,trust1Time,retrospection1Points,retrospection1Goal,retrospection2Points,retrospection2Goal,retrospection3Points,retrospection3Goal,trust1correct,trust2correct,trust3correct
13,110,17,1148084735,4.0,1.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3.0,3,4,2.0,The strategy is to eat a power pill then eat the ghost at the same time eating the pills as well,0.0,1.0,1.0,0.0,1.0,0.0,6.0,I saw that the agent like to eat the power pill then eat the ghost. The agent also liked to eat the pills as well.,1.0,The strategy was to eat the blue ghost then eat the pills,0.0,1.0,1.0,0.0,1.0,0.0,5.0,sometimes he ate the blue ghost other times he ate the pills and power pills,1.0,The strategy is to eat the power pills then go back,0.0,0.0,1.0,0.0,0.0,0.0,6.0,The agent tried to eat power pills then left.,4.0,4.0,2.0,,3.0,4.0,,1.0,2.0,1.0,6.0,Player B seemed to eat the power pills turn around and do nothing while player A kept going.,1.0,1.0,1.0,6.0,Player a did not die,1.0,1.0,2.0,6.0,Player A liked to eat the power pills then do nothing. Player B ate everything,4.0,4.0,2.0,,4.0,4.0,,30.0,28da227b,1141.0,65.18,111.76,84.23,178.35,86.57,67.7,67.2,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1
15,112,17,1305723632,4.0,2.0,,0.0,1.0,0.0,,,,,,,4.0,9,2,1.0,eating the ghosts,1.0,1.0,0.0,0.0,0.0,0.0,6.0,moves,1.0,short cut,1.0,0.0,0.0,0.0,0.0,0.0,4.0,passing the power pills,1.0,concentration,1.0,1.0,1.0,0.0,0.0,0.0,7.0,power pills,4.0,2.0,3.0,5.0,,,,-1.0,-1.0,2.0,5.0,good moves,1.0,0.0,1.0,6.0,player a was so interesting.,0.0,0.0,2.0,7.0,eating the power pills,3.0,5.0,4.0,3.0,,,,40.0,27ca227b,1164.95,215.28,33.05,85.1,44.99,13.6,27.75,24.08,1.0,1.0,0.5,0.0,1.0,0.0,1,0,1
16,113,17,38889676,5.0,1.0,,0.0,4.0,0.0,,,,,,,2.0,3,4,3.0,Miscellaneous maneuvers detected with the potential goal of eating normal pills.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,There did not seem to be much of a strategy.,1.0,The use of power pills seems to be a strategy.,0.0,0.0,1.0,0.0,0.0,0.0,5.0,The use of the power pills got the Pacman further.,1.0,Going the opposite direction after eating a power pill was a strategy.,1.0,0.0,1.0,0.0,0.0,0.0,6.0,Every time the Pacman ate a power pill it switched directions.,4.0,4.0,1.0,,4.0,3.0,None.,1.0,1.0,2.0,6.0,The strategy is much more effective.,1.0,1.0,2.0,7.0,Agent B was the better player.,1.0,1.0,1.0,6.0,The strategy seems to be aggressive.,5.0,5.0,2.0,,5.0,4.0,None.,20.0,106ea227c,1672.04,56.82,272.2,163.54,149.17,78.9,70.94,94.64,2.0,1.0,0.5,0.0,-0.5,0.0,0,0,0
17,114,17,699418992,3.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,5.0,6,2,1.0,The video shows how the pacman ate the pill and the ghost,1.0,1.0,0.0,0.0,1.0,0.0,7.0,Because i watch and understand the video.,1.0,The pacman ate the blue ghost,1.0,0.0,1.0,0.0,1.0,0.0,7.0,I watched the video.,1.0,The power pill turn the ghost to blue.,1.0,0.0,1.0,0.0,1.0,0.0,7.0,Because i watch and understand the video,5.0,5.0,1.0,5.0,,,,1.0,1.0,1.0,7.0,Player A will earn more score,-1.0,-1.0,2.0,7.0,Player B will earn more score,-1.0,-1.0,1.0,7.0,Player B will earn more score,5.0,5.0,1.0,5.0,,,,20.0,55ba227c,2202.76,172.3,476.45,171.04,61.52,295.3,36.67,15.25,1.0,1.0,1.5,1.0,1.5,0.0,0,1,0
18,115,17,1759357643,3.0,1.0,,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,10,2,2.0,Ghosts seemed to big the big if not only priority. ,0.0,0.0,0.0,1.0,0.0,0.0,6.0,They were always going straight for ghosts when given a turn decision and when there were no ghosts they were aimless. ,3.0,I'm having a tough time deciding. They went for power pellets but not exclusively. They went for ghosts but not always straight for them. ,0.0,0.0,1.0,0.0,1.0,0.0,3.0,"There seemed no be no clear goal. In the beginning pacmac was conflicted about directions, maybe choosing between ghosts? But then toward the end Pacman could have turned toward a ghost but instead went the other was. ",1.0,Top priority is getting to the power pills. ,0.0,0.0,1.0,0.0,0.0,0.0,7.0,Each section was pacman getting to a power pill and the only regular pills eaten were on a path to other power pills. ,4.0,4.0,2.0,5.0,,,,2.0,1.0,1.0,6.0,B is focused hard on power pills which aren't worth overly much on their own.,1.0,1.0,1.0,3.0,While A seems to target ghosts some B seems to target ghosts exclusively which doesn't seem like a helpful strategy. ,1.0,1.0,2.0,5.0,I don't love either choice but B is at least interested in ghosts which are good for points while A only seems to care about power pills. ,4.0,4.0,1.0,5.0,,,,50.0,102aa227c,1361.8,34.95,74.89,756.16,90.26,80.95,96.97,71.93,1.0,1.0,-0.5,0.0,0.5,0.0,1,1,1
19,116,17,427496151,3.0,2.0,,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0,5.0,6,1,1.0,"The AI seemed keen on eating the ghosts whenever possible, maybe more than collecting the pills.",0.0,0.0,0.0,0.0,1.0,0.0,3.0,The clip showed the ghosts almost always in a blue state or having already been eaten.,2.0,I think the AI wanted to stay near the power pills until the ghosts came closer.,0.0,0.0,1.0,0.0,0.0,0.0,3.0,They seem to like staying near the area where the power pill spawned.,2.0,I did not notice any particular strategy. It seemed like maybe the AI was attempting to camp near the power pills until the ghosts were closer.,0.0,0.0,1.0,0.0,0.0,0.0,3.0,The AI hovered around the power pills.,3.0,2.0,4.0,3.0,,,It was difficult to figure out the strategy of the AI. I would have liked to watch their progression as they learned how to play.,3.0,2.0,1.0,6.0,Player B seems stuck on consuming the power pills without completing the game while Player A seems more focused on the task (and consuming ghosts.),2.0,2.0,2.0,5.0,Player A seemed too focus on sticking to areas where power pills spawned while Player B seemed to like cleaning up one area of the stage first before moving onto the other side.,2.0,1.0,2.0,6.0,Player A appears to have consumed all the power pills without  making much progression with collecting the normal pills. Player B looks like they've focused more on collecting normal pills while conserving power pills.,3.0,3.0,2.0,4.0,,,It was easier to infer their strategies when they were being compared to another's.,40.0,247aa227b,1036.81,62.75,79.02,91.52,157.64,85.07,87.46,110.42,1.0,1.0,1.0,1.0,-0.5,0.0,1,1,0
21,118,17,2096912988,3.0,1.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,5,3,1.0,THe strategy here seems to be to get as many pills as possible and eat the ghosts. ,0.0,1.0,1.0,0.0,1.0,0.0,5.0,Because he kept trying to eat the ghosts and eat pills. ,2.0,"This AI didn't seem to have a strategy. He didn't avoid the ghosts, so I can assume that he was just trying to collect more power pills. ",0.0,1.0,0.0,0.0,0.0,0.0,4.0,Because there didn't seem to be any other strategy. ,1.0,Strategy seems to be the get the power pills and normal pills. ,0.0,1.0,1.0,0.0,0.0,0.0,5.0,Based on how many pills are already missing. ,2.0,2.0,3.0,,3.0,2.0,None,1.0,1.0,1.0,6.0,Because this AI was able to actually eat lots of pills and move around. ,1.0,1.0,2.0,5.0,I selected Player B because he seemed the most competent in playing the game. ,1.0,1.0,2.0,5.0,Agent B seemed to have been going to the green zones. ,3.0,2.0,3.0,,4.0,2.0,,20.0,19ba227c,1274.65,154.67,69.86,179.29,67.49,61.47,67.63,43.67,0.0,1.0,0.0,1.0,-0.5,0.0,1,1,0
23,120,17,1458931010,3.0,1.0,,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0,2.0,3,1,2.0,This agent seems to be going towards the ghosts when they are blue and avoiding them when they are not.,1.0,0.0,0.0,1.0,1.0,0.0,4.0,The movements are biased with respect to the ghosts.,9.0,"This agent traverses areas with no pills, and seems to avoid them. In other words, it will traverse clear areas.",0.0,1.0,0.0,0.0,0.0,0.0,3.0,"The video shows none of the pills being eaten, so one can assume it has to do with a pill avoidance strategy.",11.0,"This agent seems to arbitrarily collect pills, but with a bias on pills that are above it.",0.0,1.0,0.0,0.0,0.0,0.0,2.0,The movements are erratic but it is going in an upward direction in these videos.,2.0,2.0,3.0,2.0,,,It was hard to tell from the videos.,1.0,2.0,1.0,6.0,Player B seems to be going towards the ghost(s) when it's not blue in one of the segments. It is playing the game more recklessly than player A.,2.0,1.0,2.0,7.0,Player A is avoiding the pills. Player B is collecting them while avoiding the ghosts (or going after the ghosts when they are blue).,4.0,1.0,2.0,3.0,Player A has erratic and unpredictable movements. Player B seems to play it more safe.,2.0,2.0,4.0,2.0,,,No comments.,30.0,26ca227c,1230.25,100.41,129.61,222.55,194.1,112.58,93.1,89.94,-1.0,0.0,1.5,1.0,-0.5,0.0,1,1,0
24,121,17,757835757,4.0,1.0,,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0,4.0,1,3,1.0,Seems to go after the power pills.,0.0,0.0,1.0,0.0,0.0,0.0,5.0,There were 2 instances of pacman doing this,1.0,Seems to be indecisive and caught in space going back and forth for no reason,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Seems to be indecisive when there are no normal pills nearby,1.0,Eat the normal pills,0.0,1.0,0.0,0.0,0.0,0.0,5.0,"Just chased after the normal pills, that's where the green was.",2.0,3.0,3.0,,2.0,3.0,,1.0,1.0,1.0,4.0,"Hard to distinguish but it seems A has a wider area of focus, more awareness of the board.",1.0,1.0,2.0,6.0,The one on the left spends too much time indecisive and doesn't chase the ghosts. He will likely earn less points in the game.,1.0,1.0,1.0,5.0,Seems to achieve more points in the video snippets,4.0,3.0,3.0,,2.0,3.0,,10.0,129da227c,1557.3,23.27,651.41,80.94,68.22,66.43,72.59,164.15,-1.0,0.0,-0.5,0.0,-0.5,0.0,0,1,0
25,122,17,282648137,5.0,2.0,,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,6.0,5,3,3.0,He seemed more focused on getting power pills and eating the ghosts. ,0.0,1.0,1.0,0.0,1.0,0.0,5.0,"I saw him eat a few ghosts and the ghosts were blinking signifying they were almost back to ""normal"" and could have been eaten at that moment. ",1.0,Eating as many pills as possible and avoiding the ghosts. ,1.0,1.0,0.0,0.0,0.0,0.0,6.0,"He didn't seem to be going after the ghosts much, but avoiding them so that seemed to be the strategy. ",1.0,"Eliminating the ghosts seemed like what it was trying to do, but not very well. ",0.0,0.0,1.0,0.0,1.0,0.0,2.0,This one was tough as it did weird things a few times but the ghosts were blinking a lot so it seemed like the AI wanted to eat them. ,4.0,3.0,4.0,,4.0,2.0,"It wasn't so easy to see the green area, it needed to be bigger or more prominent to be of more use. And I am not color blind at all. ",1.0,1.0,1.0,7.0,Player A got more points and was more confident in its movements .,1.0,1.0,2.0,6.0,B aggressively went after all points possible and was not afraid of ghosts so not timid in its movements. ,1.0,1.0,2.0,2.0,Player B got more points and wasn't stuck much of the time. ,4.0,4.0,2.0,,4.0,3.0,The green seemed more  useful in that last set. ,20.0,246fa227b,771.4,46.9,143.3,72.02,81.67,61.89,71.83,74.0,0.0,1.0,0.0,1.0,0.5,0.0,1,1,0
